season,week,team,pass_rate_ytd
2024,13,CIN,64.72237911184529
2024,14,CIN,65.36034018138588
2024,15,CIN,64.88675579201252
2024,16,CIN,64.68218419375714
2024,17,CIN,64.85641515152683
2024,18,CIN,65.24301257958828
2024,1,CLE,72.85714285714285
2024,2,CLE,64.12087912087912
2024,3,CLE,67.08587708587709
2024,4,CLE,65.66528500739027
2024,5,CLE,64.73561783642069
2024,6,CLE,62.751379643558124
2024,7,CLE,64.36203598390325
2024,8,CLE,64.52573670979594
2024,9,CLE,64.95854958999405
2024,11,CLE,65.64579322254394
2024,12,CLE,64.46268283389162
2024,13,CLE,65.169223970283
2024,14,CLE,65.06144642964809
2024,15,CLE,65.13574989290566
2024,16,CLE,64.92035069369608
2024,17,CLE,64.8101971963927
2024,18,CLE,64.91940128287942
2024,1,DAL,59.32203389830508
2024,2,DAL,63.507170795306386
2024,3,DAL,68.26403978946352
2024,4,DAL,65.19802984209764
2024,5,DAL,63.89175720701145
2024,6,DAL,65.55082331353519
2024,8,DAL,66.03863673179863
2024,9,DAL,66.73650984302651
2024,10,DAL,65.67054843189658
2024,11,DAL,66.82501257604869
2024,12,DAL,65.66804421965679
2024,13,DAL,64.7411617468066
2024,14,DAL,64.19392766198054
2024,15,DAL,62.654865602091164
2024,16,DAL,63.006176448744206
2024,17,DAL,62.19329042069769
2024,18,DAL,61.358390984186066
2024,1,DEN,63.76811594202898
2024,2,DEN,64.91977225672878
2024,3,DEN,62.32746721877155
2024,4,DEN,58.31967448815274
2024,5,DEN,57.396480331262936
2024,6,DEN,58.94151138716356
2024,7,DEN,56.81669499045012
2024,8,DEN,56.93291797579879
2024,9,DEN,56.908862412982
2024,10,DEN,57.03615798986563
2024,11,DEN,57.00256786957481
2024,12,DEN,57.76517439326409
2024,13,DEN,57.88493281672878
2024,15,DEN,57.937486876617605
2024,16,DEN,58.51943219595421
2024,17,DEN,58.29946768370707
2024,18,DEN,57.27273843304991
2024,1,DET,49.18032786885246
2024,2,DET,58.12674930027989
2024,3,DET,51.377428826449226
2024,4,DET,49.991404953170246
2024,6,DET,49.368123962536195
2024,7,DET,50.090720586064116
2024,8,DET,49.9257848184501
2024,9,DET,49.21390786998998
2024,10,DET,49.03670117544083
2024,11,DET,48.59249051735621
2024,12,DET,49.16858933075917
2024,13,DET,49.41903297348576
2024,14,DET,49.868581044351224
2024,15,DET,52.02082525546899
2024,16,DET,51.99027023843772
2024,17,DET,52.1923708858488
2024,18,DET,52.241661011993166
2024,1,GB,62.71186440677966
2024,2,GB,41.80369339741968
2024,3,GB,40.298507462686565
2024,4,GB,48.8905472636816
2024,5,GB,49.11243781094528
2024,6,GB,48.770168764023026
2024,7,GB,50.986675267121775
2024,8,GB,50.082090858731554
2024,9,GB,51.572087817990656
2024,11,GB,50.6009255478195
2024,12,GB,49.39297166491053
2024,13,GB,49.6794064161051
2024,14,GB,49.52924228619492
2024,15,GB,49.153031771607225
2024,16,GB,48.86123761369908
2024,17,GB,49.471203366291164
2024,18,GB,49.31255572994387
2024,1,HOU,48.0
2024,2,HOU,56.5
2024,3,HOU,63.473118279569896
2024,4,HOU,63.046015180265655
2024,5,HOU,62.078603188988644
2024,6,HOU,61.021786810495996
2024,7,HOU,58.46202416269115
2024,8,HOU,58.323388789413585
2024,9,HOU,57.698868113112376
2024,10,HOU,57.62128899410883
2024,11,HOU,57.686020297674695
2024,12,HOU,58.58872848274501
2024,13,HOU,58.85643902386012
2024,15,HOU,59.21167818173029
2024,16,HOU,59.97687664777585
2024,17,HOU,60.510729264697275
2024,18,HOU,59.944050659859556
2024,1,IND,47.72727272727273
2024,2,IND,56.55594405594405
2024,3,IND,51.429452900041134
2024,4,IND,51.27050237344355
2024,5,IND,55.42816660463719
2024,6,IND,55.78609843315726
2024,7,IND,53.53094151413479
2024,8,IND,54.216623005195814
2024,9,IND,55.136998226840724
2024,10,IND,56.01674102710747
2024,11,IND,55.27213611159968
2024,12,IND,55.527235880077484
2024,13,IND,54.43893391582749
2024,15,IND,54.518692604379495
2024,16,IND,52.174435678066025
2024,17,IND,52.376371286024735
2024,18,IND,52.58035861297362
2024,1,JAX,48.0
2024,2,JAX,54.55555555555556
2024,3,JAX,61.370370370370374
2024,4,JAX,60.94005847953216
2024,5,JAX,60.68187134502924
2024,6,JAX,61.95711500974659
2024,7,JAX,58.10609857978279
2024,8,JAX,58.20890768588137
2024,9,JAX,59.21988375497147
2024,10,JAX,59.111848867846426
2024,11,JAX,59.540752355682436
2024,13,JAX,59.89303265454464
2024,14,JAX,59.60436482551759
2024,15,JAX,59.83408968230297
2024,16,JAX,60.21673506960299
2024,17,JAX,59.13176055632423
2024,18,JAX,58.683724730372894
2024,1,KC,61.224489795918366
2024,2,KC,53.945578231292515
2024,3,KC,54.8042985310066
2024,4,KC,55.6486784437095
2024,5,KC,55.16829340431825
2024,7,KC,53.2968101601642
2024,8,KC,54.165122994426454
2024,9,KC,54.62339828277375
2024,10,KC,56.417379670157864
2024,11,KC,57.50641093391131
2024,12,KC,57.89352865649691
2024,13,KC,59.47932434537858
2024,14,KC,59.787996587431266
2024,15,KC,59.43131972746797
2024,16,KC,59.586878804460305
2024,17,KC,59.99405481138493
2024,18,KC,60.386561391107385
2024,1,LA,68.91891891891892
2024,2,LA,65.22869022869023
2024,3,LA,61.06155106155106
2024,4,LA,60.02030122719778
2024,5,LA,60.48377344929069
2024,7,LA,58.40314454107557
2024,8,LA,57.7695887449582
2024,9,LA,58.63662544595607
2024,10,LA,60.247481325095286
2024,11,LA,59.84773319258576
2024,12,LA,60.77066653871432
2024,13,LA,59.79449464162021
2024,14,LA,58.40004633585455
2024,15,LA,57.19564742175505
2024,16,LA,56.077639721297615
2024,17,LA,56.34637214437689
2024,18,LA,57.04257485246168
2024,1,LAC,51.92307692307693
2024,2,LAC,42.897022332506204
2024,3,LAC,47.116533406855986
2024,4,LAC,49.016645338160856
2024,6,LAC,49.491094048306465
2024,7,LAC,52.08913922014957
2024,8,LAC,52.58434155377899
2024,9,LAC,53.65018774844551
2024,10,LAC,51.32541941275964
2024,11,LAC,52.160619406967555
2024,12,LAC,53.47935097603111
2024,13,LAC,54.70455657651336
2024,14,LAC,54.94995505848197
2024,15,LAC,56.530910649542776
2024,16,LAC,56.539961050684376
2024,17,LAC,56.252966731769845
2024,18,LAC,56.00942022145033
2024,1,LV,62.71186440677966
2024,2,LV,67.79661016949153
2024,3,LV,69.6421845574388
2024,4,LV,64.49578936147532
2024,5,LV,63.71784361039238
2024,6,LV,64.57361284472589
2024,7,LV,64.1107157716698
2024,8,LV,63.87989516813561
2024,9,LV,63.93843788956686
2024,11,LV,64.84618140219747
2024,12,LV,66.04945507298152
2024,13,LV,65.51845209646962
2024,14,LV,65.24047592787672
2024,15,LV,65.26794193302838
2024,16,LV,65.12187400928802
2024,17,LV,64.17675688370753
2024,18,LV,64.90728557765715
2024,1,MIA,61.53846153846154
2024,2,MIA,58.1025641025641
2024,3,MIA,61.35409035409035
2024,4,MIA,57.379204129204126
2024,5,MIA,55.11388961915278
2024,7,MIA,52.644659259741736
2024,8,MIA,53.82935079406435
2024,9,MIA,53.24474974141648
2024,10,MIA,53.95259806074627
2024,11,MIA,54.43035412768752
2024,12,MIA,55.54274617668562
2024,13,MIA,57.50622379629018
2024,14,MIA,58.56052359750795
2024,15,MIA,59.331546105520054
2024,16,MIA,58.97399329636899
2024,17,MIA,58.58357326080046
2024,18,MIA,59.03021428006134
2024,1,MIN,50.0
2024,2,MIN,53.431372549019606
2024,3,MIN,53.70001107787747
2024,4,MIN,52.570090275621226
2024,5,MIN,53.30607222049698
2024,7,MIN,54.48461993217516
2024,8,MIN,54.86436810512972
2024,9,MIN,54.970607806274224
2024,10,MIN,54.27942916113264
2024,11,MIN,54.003001396534536
2024,12,MIN,54.408322947898526
2024,13,MIN,55.87429603557365
2024,14,MIN,56.22068545518845
2024,15,MIN,56.430274321065326
2024,16,MIN,56.96204134372877
2024,17,MIN,57.50639137168602
2024,18,MIN,58.27023913092146
2024,1,NE,40.98360655737705
2024,2,NE,43.219076005961256
2024,3,NE,51.72938400397417
2024,4,NE,54.119618648141916
2024,5,NE,56.258657881476495
2024,6,NE,56.670574689590204
2024,7,NE,58.96438869497342
2024,8,NE,58.039152608101745
2024,9,NE,59.22924676275711
2024,10,NE,57.63965541981473
2024,11,NE,57.702717048316416
2024,12,NE,58.581987982120744
2024,13,NE,58.15493529351938
2024,15,NE,57.64532621278694
2024,16,NE,57.52779466134624
2024,17,NE,57.57814082834544
2024,18,NE,57.33520759503506
2024,1,NO,40.32258064516129
2024,2,NO,36.19902617163724
2024,3,NO,40.49632047806119
2024,4,NO,43.58652607283161
2024,5,NO,48.986867917088816
2024,6,NO,52.186026294543716
2024,7,NO,54.620989571147355
2024,8,NO,56.43307175710687
2024,9,NO,55.19976748779871
2024,10,NO,54.58175152333256
2024,11,NO,54.489903982250375
2024,13,NO,54.538450631072514
2024,14,NO,54.248510641700065
2024,15,NO,55.2755778087495
2024,16,NO,55.741482684392615
2024,17,NO,56.97462114869355
2024,18,NO,57.731482836492155
2024,1,NYG,69.11764705882352
2024,2,NYG,63.804106548279684
